day,daily_tweet_count,daily_score
2016-07-17,197,0.14128020304568528
2016-07-18,1254,0.06564960127591707
2016-07-19,888,0.0994847972972973
2016-07-20,1002,0.003601896207584822
2016-07-21,1210,0.04556223140495868
2016-07-22,946,0.05048974630021142
2016-07-23,453,0.09672671081677704
2016-07-24,540,-0.0362925925925926
2016-07-25,1333,0.07326624156039009
2016-07-26,3386,0.14064660366213821
2016-07-27,2992,0.12904221256684492
2016-07-28,1956,0.0993737218813906
2016-07-29,46,-0.0013000000000000004
2016-07-30,478,0.061080125523012556
2016-07-31,80,0.5571312500000001
2016-08-01,1206,0.34410165837479273
2016-08-02,1399,0.04448670478913509
2016-08-03,777,0.07349202059202059
2016-08-04,1454,0.09790261348005502
2016-08-05,1351,-0.016744929681717258
2016-08-06,434,0.26504700460829494
2016-08-07,407,0.4947813267813268
2016-08-08,1492,0.16120462466487936
2016-08-09,1340,0.03590440298507463
2016-08-10,1510,-0.05649701986754966
2016-08-11,1257,0.07704685759745426
2016-08-12,800,0.08501225
2016-08-13,409,0.06496234718826405
2016-08-14,445,0.08390404494382023
2016-08-15,1958,0.16416251276813076
2016-08-16,1725,0.14320104347826088
2016-08-17,1438,-0.0009102225312934622
2016-08-18,984,0.022471341463414635
2016-08-19,1240,-0.05886193548387097
2016-08-20,486,0.005349588477366255
2016-08-21,427,0.005427634660421546
2016-08-22,1183,0.05374590025359256
2016-08-23,1065,0.05241192488262911
2016-08-24,1096,0.026676916058394156
2016-08-25,1604,0.09637524937655861
2016-08-26,1641,0.043954357099329676
2016-08-27,609,-0.039593596059113306
2016-08-28,500,0.1342402
2016-08-29,1989,0.03196902966314731
2016-08-30,4026,-0.14089836065573771
2016-08-31,1809,0.0636901603095633
2016-09-01,2119,0.10494039641340254
2016-09-02,1757,0.042946841206602165
2016-09-03,686,-0.04436880466472303
2016-09-04,610,0.09587573770491803
2016-09-05,946,0.08043541226215645
2016-09-06,1736,0.04370293778801844
2016-09-07,5038,0.1605214966256451
2016-09-08,3085,0.19395539708265802
2016-09-09,4518,0.016268437361664452
2016-09-10,807,0.033477819083023545
2016-09-11,667,0.03052608695652174
2016-09-12,1786,0.0391479843225084
2016-09-13,2559,0.122458108636186
2016-09-14,3375,0.2292558814814815
2016-09-15,3270,0.19108168195718653
2016-09-16,2776,0.08708620317002883
2016-09-17,740,0.12409783783783784
2016-09-18,595,0.20046823529411767
2016-09-19,1777,0.0944389983117614
2016-09-20,1640,0.06098621951219512
2016-09-21,1789,0.14131889323644495
2016-09-22,1389,0.07896781857451404
2016-09-23,1689,0.043256009473060984
2016-09-24,545,0.03951816513761468
2016-09-25,473,0.005505073995771679
2016-09-26,1322,0.05334621785173979
2016-09-27,1014,0.12811617357001973
2016-09-28,1348,0.07426379821958458
2016-09-29,1532,0.07746892950391646
2016-09-30,991,0.17772169525731585
2016-10-01,571,0.06794798598949212
2016-10-02,413,0.07462784503631961
2016-10-03,947,0.08668627243928194
2016-10-04,1087,0.08318767249310027
2016-10-05,927,0.10182211434735708
2016-10-06,937,0.16650277481323372
2016-10-07,763,0.11654102228047182
2016-10-08,244,-0.062240983606557373
2016-10-09,264,0.05249128787878788
2016-10-10,931,0.11333780880773361
2016-10-11,1442,0.2336925797503467
2016-10-12,1166,0.10806655231560892
2016-10-13,904,0.07920011061946904
2016-10-14,807,0.1685747211895911
2016-10-15,424,0.023214150943396232
2016-10-16,312,0.10080288461538461
2016-10-17,1122,0.04042843137254902
2016-10-18,1119,0.02051849865951743
2016-10-19,1034,0.043104642166344284
2016-10-20,763,0.057575098296199216
2016-10-21,803,0.025012951432129515
2016-10-22,439,0.5776006833712984
2016-10-23,479,0.12898643006263047
2016-10-24,1221,0.13005872235872237
2016-10-25,3447,0.11700635335073978
2016-10-26,3150,-0.021953301587301587
2016-10-27,2547,0.05787777777777777
2016-10-28,1690,0.055761952662721895
2016-10-29,522,0.03512911877394636
2016-10-30,464,0.33806853448275864
2016-10-31,1386,0.03663246753246753
2016-11-01,1184,0.04718842905405405
2016-11-02,1141,0.05120035056967572
2016-11-03,1030,0.0922268932038835
2016-11-04,910,0.0889278021978022
2016-11-05,319,0.19643260188087774
2016-11-06,275,0.3498585454545455
2016-11-07,1118,0.09116708407871198
2016-11-08,898,0.08736336302895323
2016-11-09,987,0.09171408308004053
2016-11-10,1028,0.10557898832684826
2016-11-11,326,0.045351840490797546
2016-11-12,420,0.2898983333333333
2016-11-13,346,0.10394248554913295
2016-11-14,1020,0.13634323529411765
2016-11-15,1215,0.03210164609053498
2016-11-16,1097,0.12055715587967182
2016-11-17,1017,0.09935929203539823
2016-11-18,1064,0.054244266917293234
2016-11-19,498,0.016689156626506024
2016-11-20,406,0.16360714285714284
2016-11-21,1294,0.04754984544049459
2016-11-22,961,0.041914464099895944
2016-11-23,849,0.12189163722025913
2016-11-24,539,0.06656549165120593
2016-11-25,726,0.22756129476584022
2016-11-26,362,0.12732127071823204
2016-11-27,354,0.18041440677966103
2016-11-28,1025,0.672985756097561
2016-11-29,967,0.0892066184074457
2016-11-30,811,0.12493945745992602
2016-12-01,1035,0.06104888888888889
2016-12-02,889,0.03305781777277841
2016-12-03,544,0.05968768382352942
2016-12-04,375,0.11921066666666667
2016-12-05,741,0.07984062078272604
2016-12-06,1126,0.1346873001776199
2016-12-07,1574,0.06326804320203304
2016-12-08,1409,0.07484882895670689
2016-12-09,1128,0.48951826241134755
2016-12-10,486,0.10878827160493827
2016-12-11,381,0.1252034120734908
2016-12-12,710,0.05518802816901408
2016-12-13,1588,0.1552802267002519
2016-12-14,1239,0.14741404358353513
2016-12-15,1029,0.16038357628765793
2016-12-16,866,0.1452285219399538
2016-12-17,397,0.15888136020151133
2016-12-18,311,0.3424295819935691
2016-12-19,830,0.14178253012048192
2016-12-20,927,0.12807594390507013
2016-12-21,946,0.11953287526427062
2016-12-22,922,0.20423937093275488
2016-12-23,554,-0.04892960288808666
2016-12-24,260,0.15362076923076923
2016-12-25,183,0.2510245901639344
2016-12-26,510,0.08141078431372549
2016-12-27,720,-0.3642690277777777
2016-12-28,758,0.17207902374670186
2016-12-29,732,0.06176051912568306
2016-12-30,868,0.11229158986175115
2016-12-31,408,0.0449375
2017-01-01,312,0.24042820512820512
2017-01-02,483,0.1631223602484472
2017-01-03,759,0.11795836627140975
2017-01-04,871,0.23846314580941447
2017-01-05,1119,0.04991072386058981
2017-01-06,1134,0.18577839506172839
2017-01-07,655,0.12537389312977099
2017-01-08,426,0.0706093896713615
2017-01-09,1301,0.37748601076095306
2017-01-10,1271,-0.29742903225806455
2017-01-11,1183,0.11351808960270499
2017-01-12,1129,0.06865810451727192
2017-01-13,1021,0.05649529872673849
